date,final_ID,Sample,leaf_area_cm2,leaf_mass_g,LMA_gm2,initials,notes
7/27/2020,2EP1,4,41.28,0.3574,86.58,AMB,
7/27/2020,2EP1,2,55.87,0.5053,90.44,AMB,
7/28/2020,2EP2,3,25.7,0.2431,94.59,AMB,"new branch, old 03 was dead"
7/28/2020,2EP2,1,22.69,0.1777,78.32,AMB,"new branch, old 01 was dead"
7/28/2020,2EP2,2,40.04,0.3728,93.11,AMB,"new branch, old 02 was dead"
7/28/2020,2EP3,3,16.33,0.1387,84.94,AMB,
7/28/2020,2EP3,2,16.63,0.1599,96.15,AMB,
7/28/2020,2EP3,1,40.09,0.3291,82.09,AMB,
7/27/2020,2EQ1,1,78.7,0.4932,62.67,AMB,
7/27/2020,2EQ1,2,88.37,0.6393,72.34,AMB,
7/27/2020,2EQ1,3,111.37,0.8171,73.37,AMB,
7/27/2020,2EQ2,1,77.34,0.6614,85.52,AMB,
7/27/2020,2EQ2,2,44.16,0.338,76.54,AMB,
7/27/2020,2EQ2,3,80.36,0.7071,87.99,AMB,
7/28/2020,2EQ3,1,75.64,0.5053,66.8,AMB,
7/28/2020,2EQ3,3,68.27,0.5028,73.65,AMB,
7/28/2020,2EQ3,2,72.71,0.5158,70.94,AMB,
7/27/2020,2WA1,1,28.15,0.2427,86.22,AMB,
7/27/2020,2WA1,2,48.9,0.3722,76.11,AMB,
7/27/2020,2WA1,3,58.32,0.4286,73.49,AMB,
7/27/2020,2WA2,2,43.95,0.3814,86.78,AMB,
7/27/2020,2WA2,3,36.8,0.2835,77.04,AMB,
7/27/2020,2WA2,1,57.78,0.4615,79.87,AMB,
7/27/2020,2WA3,1,21.94,0.1815,82.73,AMB,
7/27/2020,2WA3,2,37.62,0.3156,83.89,AMB,
7/27/2020,2WA3,3,31.15,0.2415,77.53,AMB,
7/27/2020,2WP1,2,22.33,0.2407,107.79,AMB,
7/27/2020,2WP1,1,16.04,0.1334,83.17,AMB,
7/27/2020,2WP1,3,46.79,0.3942,84.25,AMB,"new branch, old 03 was dead"
7/26/2020,2WP2,2,52.18,0.4918,94.25,AMB,
7/26/2020,2WP2,1,65.15,0.6688,102.66,AMB,
7/26/2020,2WP2,3,24.48,0.2531,103.39,AMB,
7/26/2020,2WP3,2,46.02,0.387,84.09,AMB,
7/26/2020,2WP3,3,41.12,0.3566,86.72,AMB,
7/26/2020,2WP3,1,76.4,0.6667,87.26,AMB,
7/27/2020,2WQ1,1,56.01,0.5081,90.72,AMB,
7/27/2020,2WQ1,2,100.64,0.9867,98.04,AMB,"new branch, old 02 was dead"
7/27/2020,2WQ1,3,49,0.5395,110.1,AMB,
7/27/2020,2WQ2,1,48.37,0.465,96.13,AMB,
7/27/2020,2WQ2,2,73.25,0.7408,101.13,AMB,
7/27/2020,2WQ2,3,39.26,0.383,97.55,AMB,
7/26/2020,2WQ3,2,46.01,0.3067,66.66,AMB,
7/26/2020,2WQ3,1,120.56,0.9114,75.6,AMB,
7/26/2020,2WQ3,3,92.9,0.8227,88.56,AMB,
7/25/2020,3EA1,1,46.02,0.308,66.93,AMB,
7/25/2020,3EA1,2,67.68,0.5215,77.05,AMB,
7/25/2020,3EA1,3,61.92,0.5019,81.06,AMB,
7/25/2020,3EA2,1,38.38,0.296,77.12,AMB,
7/25/2020,3EA2,2,44.32,0.3246,73.24,AMB,
7/25/2020,3EA2,3,40.2,0.2371,58.98,AMB,
7/25/2020,3EA3,1,46.28,0.3979,85.98,AMB,
7/25/2020,3EA3,2,43.16,0.4333,100.39,AMB,
7/25/2020,3EA3,3,32.26,0.2295,71.14,AMB,
7/25/2020,3EP1,1,65.31,0.6168,94.44,AMB,
7/25/2020,3EP1,2,74.01,0.6823,92.19,AMB,
7/25/2020,3EP1,3,30.95,0.2601,84.04,AMB,
7/25/2020,3EP2,1,43.7,0.3222,73.73,AMB,
7/25/2020,3EP2,2,53.32,0.4053,76.01,AMB,
7/25/2020,3EP2,3,43,0.3529,82.07,AMB,
7/25/2020,3EP3,1,26.55,0.2344,88.29,AMB,
7/25/2020,3EP3,2,39.59,0.405,102.3,AMB,
7/25/2020,3EP3,3,22.14,0.2006,90.61,AMB,
7/25/2020,3EQ1,1,86.91,0.7266,83.6,AMB,
7/25/2020,3EQ1,2,46.34,0.347,74.88,AMB,
7/25/2020,3EQ1,3,66.17,0.445,67.25,AMB,
7/25/2020,3EQ2,1,63.04,0.5438,86.26,AMB,
7/25/2020,3EQ2,3,48.2,0.4764,98.84,AMB,
7/25/2020,3EQ2,2,58.98,0.5969,101.2,AMB,"new branch, old 02 was dead"
7/25/2020,3EQ3,1,81.4,0.644,79.12,AMB,
7/25/2020,3EQ3,3,38.86,0.2775,71.41,AMB,
7/25/2020,3EQ3,2,82.01,0.6087,74.22,AMB,
7/25/2020,3WA1,1,63.2,0.4753,75.21,AMB,
7/25/2020,3WA1,2,37.34,0.2641,70.73,AMB,
7/25/2020,3WA1,3,38.63,0.3143,81.36,AMB,
7/25/2020,3WA2,1,49.8,0.406,81.53,AMB,
7/25/2020,3WA2,2,34.18,0.2493,72.94,AMB,
7/25/2020,3WA2,3,29.44,0.2046,69.5,AMB,
7/28/2020,3WA3,1,57.89,0.3706,64.02,AMB,
7/28/2020,3WA3,2,92.81,0.7328,78.96,AMB,
7/28/2020,3WA3,3,36.17,0.2741,75.78,AMB,
7/28/2020,3WP1,3,50.54,0.4397,87,AMB,
7/28/2020,3WP1,2,39.19,0.3128,79.82,AMB,"new branch, old 02 was dead"
7/28/2020,3WP1,1,38.82,0.3359,86.53,AMB,"new branch, old 01 was dead"
7/28/2020,3WP2,2,35.24,0.2663,75.57,AMB,
7/28/2020,3WP2,3,42.45,0.3471,81.77,AMB,
7/28/2020,3WP2,1,44.28,0.3871,87.42,AMB,"new branch, old 01 was dead"
7/28/2020,3WP3,1,34.51,0.3081,89.28,AMB,
7/28/2020,3WP3,2,50.74,0.4628,91.21,AMB,
7/28/2020,3WP3,3,30.18,0.2404,79.66,AMB,
7/25/2020,3WQ1,3,41.66,0.3571,85.72,AMB,
7/25/2020,3WQ1,1,62.02,0.5104,82.3,AMB,"new branch, old 01 was dead"
7/25/2020,3WQ1,2,64.74,0.6259,96.68,AMB,"new branch, old 02 was dead"
7/25/2020,3WQ2,1,48.37,0.4631,95.74,AMB,
7/25/2020,3WQ2,2,56.14,0.5276,93.98,AMB,
7/25/2020,3WQ2,3,68.6,0.6505,94.83,AMB,
7/25/2020,3WQ3,2,76.71,0.7547,98.38,AMB,
7/25/2020,3WQ3,1,60.48,0.5022,83.04,AMB,"new branch, old 01 was dead"
7/25/2020,3WQ3,3,51.74,0.4315,83.4,AMB,
7/28/2020,4EA1,3,30.76,0.2059,66.94,AMB,
7/28/2020,4EA1,2,27.73,0.2373,85.58,AMB,
7/28/2020,4EA1,1,25.39,0.192,75.62,AMB,
7/28/2020,4EA2,1,42.64,0.326,76.45,AMB,
7/28/2020,4EA2,3,22.47,0.2089,92.97,AMB,
7/28/2020,4EA2,2,48,0.3947,82.23,AMB,
7/28/2020,4EA3,2,42.83,0.3382,78.96,AMB,
7/28/2020,4EA3,1,44.98,0.3016,67.05,AMB,
7/28/2020,4EA3,3,30.31,0.1869,61.66,AMB,
7/28/2020,4EP1,3,27.16,0.2568,94.55,AMB,
7/28/2020,4EP1,1,38.75,0.3958,102.14,AMB,
7/28/2020,4EP1,2,39.65,0.361,91.05,AMB,
7/28/2020,4EP2,3,37.55,0.383,102,AMB,
7/28/2020,4EP2,1,33.64,0.3592,106.78,AMB,"new branch, old 01 was dead"
7/28/2020,4EP2,2,28.38,0.2432,85.69,AMB,"new branch, old 02 was dead"
7/28/2020,4EP3,3,34.85,0.3323,95.35,AMB,
7/28/2020,4EP3,1,22.46,0.2112,94.03,AMB,
7/28/2020,4EP3,2,51.35,0.5306,103.33,AMB,"new branch, old 02 was dead"
7/28/2020,4EQ1,3,111.34,1.0593,95.14,AMB,
7/28/2020,4EQ1,2,77.99,0.6523,83.64,AMB,
7/28/2020,4EQ1,1,115.79,0.9143,78.96,AMB,"new branch, old 01 was dead"
7/28/2020,4EQ2,1,55.91,0.6429,114.99,AMB,
7/28/2020,4EQ2,2,81.61,0.8766,107.41,AMB,
7/28/2020,4EQ2,3,87.86,0.9584,109.08,AMB,
7/29/2020,4WA1,3,47.41,0.3816,80.49,AMB,
7/29/2020,4WA1,1,48.37,0.4601,95.12,AMB,
7/29/2020,4WA1,2,38.25,0.2994,78.27,AMB,
7/28/2020,4WA2,1,27.08,0.2074,76.59,AMB,
7/28/2020,4WA2,2,44.24,0.3448,77.94,AMB,
7/28/2020,4WA2,3,29.37,0.2236,76.13,AMB,
7/29/2020,4WA3,3,54.67,0.4085,74.72,AMB,
7/28/2020,4WA3,1,40.72,0.302,74.17,AMB,
7/28/2020,4WA3,2,51.11,0.3852,75.37,AMB,
7/29/2020,4WP1,3,27.28,0.2179,79.88,AMB,
7/29/2020,4WP1,2,27.61,0.2206,79.9,AMB,
7/29/2020,4WP1,1,31.04,0.2226,71.71,AMB,
7/29/2020,4WP2,3,23.06,0.2185,94.75,AMB,
7/29/2020,4WP2,2,26.64,0.237,88.96,AMB,
7/29/2020,4WP2,1,41.5,0.3591,86.53,AMB,
7/29/2020,4WP3,3,33.54,0.2403,71.65,AMB,"new branch, old 03 was dead"
7/29/2020,4WP3,1,27.7,0.1935,69.86,AMB,
7/29/2020,4WP3,2,29.57,0.2163,73.15,AMB,
7/29/2020,4WQ1,3,42.36,0.4916,116.05,AMB,
7/29/2020,4WQ1,2,72.33,0.6246,86.35,AMB,
7/29/2020,4WQ1,1,67.03,0.5207,77.68,AMB,
7/29/2020,4WQ2,3,89.22,0.8053,90.26,AMB,
7/29/2020,4WQ2,2,68.21,0.5522,80.96,AMB,
7/29/2020,4WQ2,1,46.11,0.4177,90.59,AMB,
7/28/2020,4WQ3,2,73.99,0.5876,79.42,AMB,"new branch, old 02 was dead"
7/28/2020,4WQ3,1,96.16,0.8591,89.34,AMB,
7/28/2020,4WQ3,3,97.77,0.9393,96.07,AMB,
